YEAR_MONTH,CATEGORY_TITLE,NUM_TRENDING_VIDEOS
2020-08,Autos & Vehicles,1094
2020-08,Comedy,2498
2020-08,Education,888
2020-08,Entertainment,10502
2020-08,Film & Animation,1434
2020-08,Gaming,2241
2020-08,Howto & Style,1638
2020-08,Music,8471
2020-08,News & Politics,2517
2020-08,Nonprofits & Activism,89
2020-08,People & Blogs,4260
2020-08,Pets & Animals,293
2020-08,Science & Technology,807
2020-08,Sports,4847
2020-08,Travel & Events,254
2020-09,Autos & Vehicles,1671
2020-09,Comedy,3887
2020-09,Education,1147
2020-09,Entertainment,15254
2020-09,Film & Animation,2337
2020-09,Gaming,3777
2020-09,Howto & Style,2567
2020-09,Music,11958
2020-09,News & Politics,3016
2020-09,Nonprofits & Activism,160
2020-09,People & Blogs,6455
2020-09,Pets & Animals,424
2020-09,Science & Technology,2841
2020-09,Sports,7518
2020-09,Travel & Events,320
2020-10,Autos & Vehicles,1462
2020-10,Comedy,4048
2020-10,Education,1173
2020-10,Entertainment,17060
2020-10,Film & Animation,2193
2020-10,Gaming,3877
2020-10,Howto & Style,2455
2020-10,Music,12873
2020-10,News & Politics,2468
2020-10,Nonprofits & Activism,192
2020-10,People & Blogs,6572
2020-10,Pets & Animals,362
2020-10,Science & Technology,2789
2020-10,Sports,7104
2020-10,Travel & Events,320
2020-11,Autos & Vehicles,1634
2020-11,Comedy,4011
2020-11,Education,1014
2020-11,Entertainment,16389
2020-11,Film & Animation,2101
2020-11,Gaming,3966
2020-11,Howto & Style,2651
2020-11,Music,11875
2020-11,News & Politics,2957
2020-11,Nonprofits & Activism,156
2020-11,People & Blogs,6675
2020-11,Pets & Animals,382
2020-11,Science & Technology,1874
2020-11,Sports,6326
2020-11,Travel & Events,359
2020-12,Autos & Vehicles,1444
2020-12,Comedy,3992
2020-12,Education,1397
2020-12,Entertainment,17036
2020-12,Film & Animation,2303
2020-12,Gaming,4210
2020-12,Howto & Style,2276
2020-12,Music,11340
2020-12,News & Politics,2343
2020-12,Nonprofits & Activism,187
2020-12,People & Blogs,6779
2020-12,Pets & Animals,364
2020-12,Science & Technology,1834
2020-12,Sports,7012
2020-12,Travel & Events,281
2021-01,Autos & Vehicles,1719
2021-01,Comedy,4003
2021-01,Education,1335
2021-01,Entertainment,17591
2021-01,Film & Animation,2165
2021-01,Gaming,4382
2021-01,Howto & Style,2580
2021-01,Music,9770
2021-01,News & Politics,3673
2021-01,Nonprofits & Activism,214
2021-01,People & Blogs,8004
2021-01,Pets & Animals,483
2021-01,Science & Technology,2070
2021-01,Sports,8243
2021-01,Travel & Events,505
2021-02,Autos & Vehicles,1591
2021-02,Comedy,3219
2021-02,Education,1067
2021-02,Entertainment,15361
2021-02,Film & Animation,1916
2021-02,Gaming,4630
2021-02,Howto & Style,1979
2021-02,Music,9401
2021-02,News & Politics,2156
2021-02,Nonprofits & Activism,165
2021-02,People & Blogs,6251
2021-02,Pets & Animals,317
2021-02,Science & Technology,1485
2021-02,Sports,5890
2021-02,Travel & Events,364
2021-03,Autos & Vehicles,1552
2021-03,Comedy,4086
2021-03,Education,1139
2021-03,Entertainment,18048
2021-03,Film & Animation,2286
2021-03,Gaming,6228
2021-03,Howto & Style,2220
2021-03,Music,12360
2021-03,News & Politics,2664
2021-03,Nonprofits & Activism,177
2021-03,People & Blogs,8275
2021-03,Pets & Animals,440
2021-03,Science & Technology,1495
2021-03,Sports,5836
2021-03,Travel & Events,360
2021-04,Autos & Vehicles,1333
2021-04,Comedy,3765
2021-04,Education,1134
2021-04,Entertainment,17840
2021-04,Film & Animation,1973
2021-04,Gaming,7677
2021-04,Howto & Style,2023
2021-04,Music,9005
2021-04,News & Politics,3230
2021-04,Nonprofits & Activism,260
2021-04,People & Blogs,8006
2021-04,Pets & Animals,403
2021-04,Science & Technology,1772
2021-04,Sports,5983
2021-04,Travel & Events,284
2021-05,Autos & Vehicles,984
2021-05,Comedy,2968
2021-05,Education,928
2021-05,Entertainment,14599
2021-05,Film & Animation,1578
2021-05,Gaming,5620
2021-05,Howto & Style,1565
2021-05,Music,8769
2021-05,News & Politics,2819
2021-05,Nonprofits & Activism,208
2021-05,People & Blogs,6564
2021-05,Pets & Animals,386
2021-05,Science & Technology,1139
2021-05,Sports,5234
2021-05,Travel & Events,330
2021-06,Autos & Vehicles,1421
2021-06,Comedy,3783
2021-06,Education,1118
2021-06,Entertainment,16910
2021-06,Film & Animation,1672
2021-06,Gaming,8253
2021-06,Howto & Style,2073
2021-06,Music,10150
2021-06,News & Politics,2153
2021-06,Nonprofits & Activism,225
2021-06,People & Blogs,7906
2021-06,Pets & Animals,474
2021-06,Science & Technology,1441
2021-06,Sports,6632
2021-06,Travel & Events,396
2021-07,Autos & Vehicles,1273
2021-07,Comedy,3691
2021-07,Education,1227
2021-07,Entertainment,17569
2021-07,Film & Animation,1960
2021-07,Gaming,7440
2021-07,Howto & Style,2001
2021-07,Music,11129
2021-07,News & Politics,2730
2021-07,Nonprofits & Activism,147
2021-07,People & Blogs,8674
2021-07,Pets & Animals,492
2021-07,Science & Technology,1448
2021-07,Sports,7059
2021-07,Travel & Events,350
2021-08,Autos & Vehicles,1360
2021-08,Comedy,3448
2021-08,Education,1101
2021-08,Entertainment,16930
2021-08,Film & Animation,1967
2021-08,Gaming,8199
2021-08,Howto & Style,1815
2021-08,Music,10990
2021-08,News & Politics,2927
2021-08,Nonprofits & Activism,115
2021-08,People & Blogs,7674
2021-08,Pets & Animals,453
2021-08,Science & Technology,1593
2021-08,Sports,7789
2021-08,Travel & Events,399
2021-09,Autos & Vehicles,1341
2021-09,Comedy,3646
2021-09,Education,1193
2021-09,Entertainment,16269
2021-09,Film & Animation,1664
2021-09,Gaming,9222
2021-09,Howto & Style,1956
2021-09,Music,10268
2021-09,News & Politics,2413
2021-09,Nonprofits & Activism,284
2021-09,People & Blogs,7938
2021-09,Pets & Animals,355
2021-09,Science & Technology,1945
2021-09,Sports,6185
2021-09,Travel & Events,475
2021-10,Autos & Vehicles,1428
2021-10,Comedy,4072
2021-10,Education,1293
2021-10,Entertainment,17074
2021-10,Film & Animation,2235
2021-10,Gaming,11101
2021-10,Howto & Style,1930
2021-10,Music,9502
2021-10,News & Politics,1560
2021-10,Nonprofits & Activism,170
2021-10,People & Blogs,8093
2021-10,Pets & Animals,348
2021-10,Science & Technology,1743
2021-10,Sports,6367
2021-10,Travel & Events,448
2021-11,Autos & Vehicles,1379
2021-11,Comedy,3734
2021-11,Education,1291
2021-11,Entertainment,16430
2021-11,Film & Animation,2005
2021-11,Gaming,10362
2021-11,Howto & Style,2000
2021-11,Music,8412
2021-11,News & Politics,1640
2021-11,Nonprofits & Activism,138
2021-11,People & Blogs,8457
2021-11,Pets & Animals,349
2021-11,Science & Technology,1019
2021-11,Sports,5385
2021-11,Travel & Events,483
2021-12,Autos & Vehicles,1176
2021-12,Comedy,4403
2021-12,Education,1639
2021-12,Entertainment,17711
2021-12,Film & Animation,2255
2021-12,Gaming,10612
2021-12,Howto & Style,1736
2021-12,Music,7928
2021-12,News & Politics,1688
2021-12,Nonprofits & Activism,98
2021-12,People & Blogs,8792
2021-12,Pets & Animals,260
2021-12,Science & Technology,1243
2021-12,Sports,4853
2021-12,Travel & Events,539
2022-01,Autos & Vehicles,1274
2022-01,Comedy,3825
2022-01,Education,1500
2022-01,Entertainment,15933
2022-01,Film & Animation,1752
2022-01,Gaming,10326
2022-01,Howto & Style,1989
2022-01,Music,6032
2022-01,News & Politics,2521
2022-01,Nonprofits & Activism,137
2022-01,People & Blogs,8755
2022-01,Pets & Animals,364
2022-01,Science & Technology,1004
2022-01,Sports,4653
2022-01,Travel & Events,505
